Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"According to the provided text, what is the exact renewal time or epithelial replacement for the oral epithelium?",4 to 6 days,10 to 30 days,15 to 45 days,2 to 3 weeks,1 to 2 months,Option B,"The surface of the epithelium is constantly renewed establishing a balance between division and superficial desquamation, taking about 10 - 30 days in this process called renewal time."
Which cells in the oral epithelium are characterized as modified monocytes that belong to the mononuclear phagocyte system and act as antigen-presenting cells?,Merkel cells,Melanocytes,Langerhans cells,Keratinocytes,Osteoclasts,Option C,Langerhans cells are dendritic cells at the suprabasal level that are modified monocytes with a relevant immune function as antigen-presenting cells.
What specific type of collagen forms the anchoring fibrils that emerge from the lamina densa?,Type I collagen,Type III collagen,Type IV collagen,Type VII collagen,Type X collagen,Option D,From the same dense sheet emerge the so called anchor fibers formed by type VII collagen that are synthesized by the epithelial basal cells themselves.
What is the turnover rate of the junctional epithelium?,2 to 3 days,4 to 6 days,10 to 14 days,10 to 30 days,About 40 days,Option B,The junctional epithelium is in constant renewal with a turnover rate of 4-6 days.
Which group of gingival connective tissue fibers is specifically responsible for stabilizing the teeth in the arch?,Trans-septal fibers,Circular fibers,Intercircular fibers,Interpapillary fibers,Transgingival fibers,Option C,Intercircular fibers stabilize the teeth in the arch.
"In the periodontal ligament, what percentage of the collagen is Type I?",50%,60%,70%,80%,90%,Option D,"The periodontal ligament is composed mainly of type I collagen (80%), with type III being the second most abundant."
Which group of principal fibers in the periodontal ligament is the largest and transforms vertical masticatory stresses into tension on the alveolar bone?,Cresto-alveolar fibers,Transeptal fibers,Horizontal fibers,Apical fibers,Oblique fibers,Option E,Oblique fibers are the largest group... They bear the brunt of vertical masticatory stresses and transform such stresses into tension on the alveolar bone.
What is the typical thickness range of acellular cementum?,10 to 50 μm,30 to 230 μm,100 to 500 μm,200 to 600 μm,0.5 to 1 mm,Option B,Acellular cementum thickness ranges from 30 to 230 μm.
What are the intrinsic fibers of the cementum synthesized by?,Fibroblasts,Osteoblasts,Cementoblasts,Osteoclasts,Epithelial basal cells,Option C,"Intrinsic fibers are synthesized by cementoblasts, proteoglycans, glycoproteins and phosphoproteins."
Which of the following specifically characterizes fascicular bone in the alveolus?,It is composed solely of Haversian systems.,It leaves gaps exclusively filled with bone marrow.,It is perforated by numerous Volkmann ducts.,It does not contain any Sharpey fibers.,It lacks adjacent connection to the periodontal ligament.,Option C,"Fascicular bone is perforated by numerous Volkmann conducts, where it passes: blood vessels, and nerve fibers."
Who is credited with formulating the Non-specific plaque hypothesis in 1966?,Costerton,Marsh,Loesche,Theilade,Socransky,Option D,"This theory that conceived dental plaque as a biomass is known as the Non-specific plaque hypothesis (Theilade, 1966)."
What percentage of the total volume of a biofilm is comprised of the Matrix/Glycocalyx?,20-30%,40-50%,50-70%,75-80%,90-95%,Option D,The Matrix / Glycocalyx comprises 75–80% of total volume of the biofilm.
"During Phase 2 (Colonization) of dental plaque formation, what proportion of the bacteria belong to the genus Streptococcus in the first 4 to 8 hours?",10-20%,30-50%,60-80%,85-95%,Almost 100%,Option C,"During the first 4–8 hours, between 60% and 80% of the bacteria belong to the genus Streptococcus."
"In the inorganic composition of dental calculus, what percentage is Magnesium whitlockite?",9%,12%,21%,58%,76%,Option C,Main crystalline forms in calculus include Magnesium whitlockite at 21%.
"According to Socransky's complexes, which of the following microorganisms is classified within the Green Complex?",Streptococcus constellatus,Aggregatibacter actinomycetemcomitans serotype b,Aggregatibacter actinomycetemcomitans serotype A,Eubacterium nodatum,Selenomonas noxia,Option C,"The Green Complex includes coaggregating species such as Eikenella corrodens, Capnocytophaga species, and Aggregatibacter actinomycetemcomitans serotype A."
Which statement correctly describes the gingipains produced by Porphyromonas gingivalis?,"RgpA and RgpB are lysine-specific, while Kgp is arginine-specific.","RgpA and RgpB are arginine-specific, while Kgp is lysine-specific.",They are exclusively responsible for producing hydrogen sulfide.,They inhibit bone resorption by degrading osteoclasts.,They strictly prevent the bacteria from invading epithelial cells.,Option B,"The 3 major enzymes are Arg-gingipains (RgpA and RgpB), which are arginine-specific, and Lys-gingipain (Kgp), which is lysine-specific."
Which bacterium acts as a 'bridging bacterium' by facilitating the coaggregation of T. denticola and P. gingivalis?,Fusobacterium nucleatum,Prevotella intermedia,Campylobacter rectus,Streptococcus sanguinis,Aggregatibacter actinomycetemcomitans,Option A,"Fusobacterium nucleatum is defined as a bridging bacterium, as it facilitates the coaggregation of T. denticola and P. gingivalis."
"According to the data provided comparing oral flora in different conditions, what is the prevalence of Porphyromonas gingivalis in Periodontitis compared to Health?",12.8% in health vs 31.05% in periodontitis,47.9% in health vs 90.5% in periodontitis,10.6% in health vs 59.55% in periodontitis,69.1% in health vs 87.9% in periodontitis,85.1% in health vs 95.7% in periodontitis,Option C,The table shows Porphiromona gingivalis values as 10.6% in Health and 59.55% in Periodontitis (Odds Ratio 12.3).
"According to Page and Schroeder's histopathology of periodontal disease, the 'Early Lesion' corresponds to how many days of plaque accumulation?",2 to 4 days,4 to 14 days,1 to 3 weeks,3 to 4 weeks,More than 1 month,Option B,The Early or early injury stage corresponds to 4-14 days of plaque accumulation.
"According to Lindhe's classification, how is 'Established gingivitis' histologically defined based on the density of plasma cells?",Plasma cells make up less than 5% of the leukocyte infiltrate.,Density of plasma cells is 10-30% of the leukocyte infiltrate.,Density of plasma cells is exactly 50% of the leukocyte infiltrate.,Density of plasma cells is >50% of the leukocyte infiltrate.,Plasma cells are entirely absent.,Option B,Established gingivitis is an established lesion without bone loss or apical epithelial migration where the density of plasma cells is 10-30% of the leukocyte infiltrate.
Which cells are the primary producers of Prostaglandin E2 (PGE2) in the context of periodontal bone destruction?,Neutrophils,Osteoblasts,Macrophages,Lymphocytes,Epithelial cells,Option C,"PGE2 is produced by fibroblasts, but especially by macrophages and induces the secretion of matrix metalloproteinase (MMPs) and osteoclastic bone resorption."
What is the internal diameter of the membrane attack complex (MAC) formed by the complement system?,About 2 nm,About 5 nm,About 10 nm,About 20 nm,About 50 nm,Option C,The monomers of C9 are assembled together to give a remarkable structure... with about 10 nm of internal diameter.
"According to the text, heavy smokers have a relative risk of bone loss that is how many times higher compared to non-smokers?",2.50 times,3.25 times,5.10 times,7.28 times,10.5 times,Option D,The risk of bone loss among smokers with periodontitis was 3.25 times higher between occasional smokers and 7.28 for heavy smokers.
What is the reported incidence of gingival enlargement for patients taking the immunosuppressant drug Cyclosporine A?,5-10%,15-20%,25-30%,50%,70-80%,Option C,Cyclosporine A has a 25–30% incidence of producing gingival enlargements.
"In the 1978 epidemiological study by Loe and coworkers, what was the average annual loss of attachment in the Sri Lankan tea plantation population?",0.05 mm,0.1 mm,0.2 - 0.3 mm,0.5 - 0.6 mm,1.0 mm,Option C,"The results demonstrated that in the Norwegian group the average annual loss of attachment was 0.1mm, while in the Sri Lankan population this figure was 0.2-0.3mm a year."
"When assessing the Papilla Bleeding Index (PBI), what does a Grade 3 score signify?",A single bleeding point appears.,A fine line or several bleeding spots become visible.,The interdental triangle is filled with blood.,Profuse bleeding flows by gravity into the interdental region.,No bleeding is observed after 30 seconds.,Option C,Grade 3: Triangle. The interdental triangle is filled with blood in more or less quantity.
What are the precise specifications of the special probe used to measure the Community Periodontal Index of Treatment Needs (CPITN)?,0.2 mm sphere and a black band between 2.5 and 4.5 mm.,0.5 mm sphere and a black band between 3.5 and 5.5 mm.,1.0 mm sphere and a black band between 4.0 and 6.0 mm.,0.5 mm sphere and a solid black tip up to 3.0 mm.,"No sphere, with a black band between 3.5 and 5.5 mm.",Option B,These probes are characterized by a small sphere of 0.5 mm diameter and a black band between 3.5 and 5.5 mm.
