Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
What is the main function of the periodontium?,To form enamel,To fix the tooth to the bone tissue,To regenerate dentin,To form the pulp,To nourish the crown,Option B,The periodontium fixes the tooth to the bone tissue with some elasticity and maintains oral mucosa integrity.
Which of the following tissues is NOT part of the periodontium?,Gingiva,Periodontal ligament,Cementum,Alveolar bone,Dentin,Option E,"The periodontium consists of the gingiva, periodontal ligament, cementum, and alveolar bone."
What constitutes the protective periodontium?,Cementum and alveolar bone,Gingiva and junctional epithelium,Periodontal ligament and cementum,Alveolar bone and periodontal ligament,Dentin and pulp,Option B,The protective periodontium is formed by the gingiva and the dentogingival junction or junctional epithelium.
The mucogingival junction separates which two structures?,Free gingiva and attached gingiva,Attached gingiva and alveolar mucosa,Cementum and enamel,Periodontal ligament and alveolar bone,Crown and root,Option B,The mucogingival junction separates the attached gingiva from the loose and darker red alveolar mucosa.
Healthy gingiva is typically described as having what color?,Bright red,Dark brown,Pale pink or coral pink,Bluish-purple,White,Option C,Healthy gingiva is pale pink in color (coral pink or salmon pink).
Which of the following represents the correct descending order of keratinization in the oral cavity?,"Palate, gum, ventral side of tongue, cheek","Gum, palate, cheek, ventral side of tongue","Ventral side of tongue, palate, gum, cheek","Cheek, ventral side of tongue, gum, palate","Palate, cheek, gum, ventral side of tongue",Option A,"Keratinization varies in the different areas of the mouth in the following order from most to least keratinized: palate, gum, ventral side of the tongue and cheek. [cite: 140]"
Which statement accurately distinguishes cellular (secondary) cementum from acellular (primary) cementum?,Cellular cementum forms before the tooth reaches the occlusal plane.,Cellular cementum is more calcified than acellular cementum.,Sharpey fibers occupy a larger portion of cellular cementum.,Cellular cementum is less calcified and contains cells within individual lacunae.,Acellular cementum is primarily found in the apical third of the root.,Option D,"Cellular cementum is formed after the tooth reaches the occlusal plane, is more irregular, contains cementocytes in individual lacunae, and is less calcified than the acellular type. [cite: 225, 226]"
"According to Socransky's microbial complexes, which of the following is a strict anaerobic, Gram-negative, asaccharolytic rod belonging to the 'Red Complex'?",Fusobacterium nucleatum,Prevotella intermedia,Porphyromonas gingivalis,Campylobacter rectus,Streptococcus constellatus,Option C,"Porphyromonas gingivalis is a strict anaerobic, Gram-negative, non-motile, asaccharolytic rod that is part of the Red Complex, which is directly associated with the severity of periodontal disease. [cite: 422, 435]"
"According to the Community Periodontal Index of Treatment Needs (CPITN), what does a Code 4 signify, and what treatment need (TN) does it mandate?",Probing depths between 3.5 and 5.5 mm; TN2.,Probing depths of 5.5 mm or more; TN3 (complex treatment including surgery).,Bleeding on probing with no calculus; TN1.,The probe encounters subgingival calculus; TN2.,No bleeding or calculus; TN0.,Option B,"Code 4 indicates probing depths of 5.5 mm or more, where the black band of the probe disappears subgingivally. This corresponds to Treatment Need 3 (NT3), which requires complex treatment including surgery. [cite: 795, 797]"
"Under the 2017 classification of gingival recession, how is a Recession Type 3 (RT3) clinically defined?",Gingival recession with no loss of interproximal attachment.,Interproximal attachment loss is less than or equal to buccal attachment loss.,Interproximal attachment loss is higher than the buccal attachment loss.,Recession combined with a thick periodontal phenotype and no bone loss.,Recession caused strictly by primary occlusal trauma.,Option C,"Recession Type 3 (RT3) is defined as gingival recession associated with loss of interproximal attachment where the amount of interproximal attachment loss is higher than the buccal attachment loss. [cite: 1008, 1009]"
