Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"Which toxic metabolite is produced during saturated hepatic metabolism of Paracetamol, leading to acute hepatic necrosis?",N-acetylcysteine,Acetylsalicylic acid,N-acetylbenzoquinoneimide,Phenylephrine,Methyldopa,Option C,"Saturated hepatic metabolism -> acute hepatic necrosis (N-acetylbenzoquinoneimide)"
"What is the unique 'Characteristic adverse effect' explicitly listed for Anthranilic Acid Derivatives (e.g., Mefenamic acid)?",Constipation,Diarrhea,Agranulocytosis,Reye's syndrome,Tachycardia,Option B,"Characteristic adverse effect: diarrhea."
"According to the Corticosteroids Classification table, which of the following drugs possesses 'NONE' Mineralocorticoid activity?",Hydrocortisone,Prednisone,Prednisolone,Methylprednisolone,Fludrocortisone,Option D,"Methylprednisolone ... MINERALCORTICOID ACTIVITY: NONE"
"Identify the specific receptor target and clinical indication for Mirabegron.",Beta-1 antagonist for Hypertension,Alpha-2 agonist for Glaucoma,Beta-3 agonist for Overactive bladder,Muscarinic M3 antagonist for COPD,Alpha-1 antagonist for BPH,Option C,"Mirabegron ... Overactive bladder ... Beta 3"
"What is the strict maximum frequency recommended for Local Infiltration of corticosteroids to avoid complications?",Once a month,Twice a year,Maximum 3 times a year,Maximum 4 times a year,Every 8 weeks,Option C,"Maximum 3 times a year!"
"Which drug is a ganglionic blocker specifically indicated for 'Severe hypertension refractory to other treatments'?",Prazosin,Mecamylamine,Clonidine,Atenolol,Dobutamine,Option B,"Severe hypertension refractory to other treatments (Mecamylamine tablets)"
"What pharmacokinetic property allows Oxicams (Piroxicam, Meloxicam) to be administered in a single daily intake?",High protein binding,Enteric coating,Long half-life,Rapid absorption,High potency,Option C,"Long half-life, allow a single daily intake."
"How does the concurrent administration of Antacids affect the pharmacology of Acetylsalicylic Acid (AAS)?",Increases the toxicity of antacids,Enhances the ulcerogenic effect,Increases the absorption of AAS,Decreases the absorption of AAS,Precipitates renal failure,Option D,"AAS + antacids -> decrease the absorption of AAS"
"Which drug is indicated for Pheochromocytoma due to its ability to handle massive catecholamine release?",Propranolol,Phenoxybenzamine,Phentolamine,Tamsulosin,Carvedilol,Option B,"Pheochromocytoma, adrenal cancer: massive release of catecholamines (Phenoxybenzamine)"
"Which neuromuscular blocker is characterized as 'depolarizing (prolonged!)' in the general pharmacology tables?",Tubocurarine,Atracurium,Pancuronium,Succinylcholine,Mecamylamine,Option D,"Succinylcholine/Suxamethonium, and drugs with depolarizing (prolonged!)"
