"Question","Option A","Option B","Option C","Option D","Option E","Correct Answer","Explanation"
"What is the main function of the periodontium?","To form enamel","To fix the tooth to the bone tissue with elasticity","To regenerate dentin","To form the pulp","To nourish the crown","Option B","The periodontium fixes the tooth to the bone tissue with some elasticity and maintains oral mucosa integrity."
"Which of the following is NOT a component of the periodontium?","Gingiva","Periodontal ligament","Cementum","Alveolar bone","Dentin","Option E","The periodontium consists of the gingiva, periodontal ligament, cementum, and alveolar bone."
"What constitutes the protective periodontium?","Cementum and alveolar bone","Gingiva and junctional epithelium","Periodontal ligament and cementum","Alveolar bone and periodontal ligament","Dentin and pulp","Option B","The protective periodontium is formed by the gingiva and the dentogingival junction (junctional epithelium)."
"What is the normal probing depth of a clinically healthy gingival sulcus?","0-1 mm","1-2 mm","2-3 mm","4-5 mm",">5 mm","Option C","The gingival sulcus is V-shaped and allows entry of a periodontal probe with depths considered clinically healthy from 2 to 3mm."
"Which part of the gingiva is firmly attached to the underlying periosteum?","Free gingiva","Interdental papilla","Attached gingiva","Marginal gingiva","Sulcular epithelium","Option C","The attached gingiva is firm, resistant, and joins strongly to the underlying periosteum. It extends to the mucogingival junction."
"The width of attached gingiva:","Decreases with age","Is stable throughout life","Increases with age, especially at puberty","Is the same in all areas of the mouth","Is not an important clinical parameter","Option C","The width of attached gingiva increases with age, especially at the time of puberty."
"What is the zenith of the gingival margin?","The most apical point of the gingival contour","The tip of the interdental papilla","The mucogingival junction","The free gingival groove","The base of the sulcus","Option A","The zenith is the most apical point of the contour of the gum; it is usually distally displaced."
"Which type of gingiva occupies the spaces between the teeth?","Free gingiva","Attached gingiva","Interdental gingiva (papilla)","Alveolar mucosa","Marginal gingiva","Option C","Interdental or papillary gingiva occupies the spaces between the teeth, covering the embrasures."
"The mucogingival junction separates:","Attached gingiva from alveolar mucosa","Free gingiva from attached gingiva","Gingiva from periodontal ligament","Cementum from dentin","Alveolar bone from periosteum","Option A","The attached gingiva extends to the mucogingival junction where it is continuous with the alveolar mucosa."
"Healthy gingiva is typically described as:","Red and edematous","Coral pink or salmon pink","White and firm","Yellow and stippled","Blue-purple","Option B","Healthy gingiva is pale pink in color (coral pink or salmon pink) although there are normal variations."
